date,cases,deaths,location
3/1/2020,1,0,New_York
3/2/2020,1,0,New_York
3/3/2020,2,0,New_York
3/4/2020,11,0,New_York
3/5/2020,22,0,New_York
3/6/2020,44,0,New_York
3/7/2020,89,0,New_York
3/8/2020,106,0,New_York
3/9/2020,142,0,New_York
3/10/2020,173,0,New_York
3/11/2020,217,0,New_York
3/12/2020,326,0,New_York
3/13/2020,421,0,New_York
3/14/2020,610,2,New_York
3/15/2020,732,6,New_York
3/16/2020,950,10,New_York
3/17/2020,1374,17,New_York
3/18/2020,2382,27,New_York
3/19/2020,4152,30,New_York
3/20/2020,7102,57,New_York
3/21/2020,10356,80,New_York
3/22/2020,15168,122,New_York
3/23/2020,20875,159,New_York
3/24/2020,25665,218,New_York
3/25/2020,33066,325,New_York
3/26/2020,38987,432,New_York
3/27/2020,44635,535,New_York
3/28/2020,53363,782,New_York
3/29/2020,59568,965,New_York
3/30/2020,67174,1224,New_York
